final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
10,True,7.0,Always,"OverWatch,league of legend,Dreadhunger,Civilization6,CS go",It could make me a better **team player** because sometimes when u have a bad teammate u have to control your mood and try to carry your team. Sometimes when I'm throwing a game I need to mute someone's bad words that I can try my best without any influence. ,INT-GRP,High Frequency
10,True,7.0,Always,"OverWatch,league of legend,Dreadhunger,Civilization6,CS go",It could make me a better team player because sometimes when u have a bad teammate u have to **control** your mood and try to carry your team. Sometimes when I'm throwing a game I need to mute someone's bad words that I can try my best without any influence. ,CTR-DCT,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a specific goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more **efficient** and rewarding to cooperate. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",COM-EFF,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a **specific** goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to cooperate. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",COM-CLR,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and **cooperate** to achieve a specific goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about **cooperation** between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to **cooperate**. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",CLB-COP,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a specific goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to cooperate. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication **skills** significantly over the decade I've been playing them.",CLB-MNG,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a specific goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have **tactical** information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to cooperate. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",PRO-STR,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a specific **goal**. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to cooperate. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",PRO-GOL,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a specific goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to **help** each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to cooperate. Both of these games encourage interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",INT-OTH,High Frequency
51,True,6.0,Half of the time,"Minecraft,Super Smash Bros. Ultimate,Counter-Strike: Global Offensive,Fortnite,Valorant","In most ways, gaming does improve my ability to communicate with others and cooperate to achieve a specific goal. Counter-Strike is inherently a team-based game, where players need to verbally express information about where they're going, if they've encountered enemies, and if they have tactical information about the other team's whereabouts. Minecraft, on the other hand, is more about cooperation between players to help each other advance through the game and acquire better materials for building or survival. This can absolutely be done individually, but it is both more efficient and rewarding to cooperate. Both of these games **encourage** interaction among team members, and have helped improve my interpersonal communication skills significantly over the decade I've been playing them.",INT-ENC,High Frequency
