final score,gamer?,game days / week,team frequency,top 5 games,games essay,CODE,Gamer Group
95,True,5,Most of the time,"Halo,Apex Legends,Sea of Thieves,Hell let Loose,COD","I believe so. Teaches you to rely on teammates, because there are some battles you cannot win by yourself. It is a team effort.",UNCODED,High Frequency
95,True,4,Some of the time,"Stardew Valley,Stellaris,Factorio,Civ 5,Elite Dangerous",Describing problems and solutions to someone not in the same room as me has certainly made me a better communicator. ,UNCODED,High Frequency
92,True,5,Most of the time,"Baldur's Gate 3,Final Fantasy XIV,Stardew Valley,Sid Meier's Civilization VI,Valheim",Yes. I think it does because you have to think about your team when deciding what you need to do as an individual. You have to **work together** to meet goals and be successful.,CLB-COP,High Frequency
90,True,4,Most of the time,"Halo MCC,Monster Hunter World,Supreme Commander,Borderlands,outlast trials","I would say yes, **working together** as a team to solve puzzles or plan strategies along with communication skills.",CLB-COP,High Frequency
90,True,4,Most of the time,"Halo MCC,Monster Hunter World,Supreme Commander,Borderlands,outlast trials","I would say yes, working together as a team to solve puzzles or plan strategies along with communication **skills**.",CLB-MNG,High Frequency
90,True,4,Most of the time,"Halo MCC,Monster Hunter World,Supreme Commander,Borderlands,outlast trials","I would say yes, working together as a team to solve puzzles or **plan** strategies along with communication skills.",PRO-STR,High Frequency
91,True,3,Half of the time,"Minecraft ,Super Smash Bros Ultimate,Fire Emblem: Three House,Fire Emblem: Engage,Sekiro: Shadows Die Twice","Yes it does! When I play my favorite game ""Super Smash bro"", I have friends who are super good at the game, so pretty much lost every match, but super fun.  It more fun play with people are so much better then you because you can grow as a better player and grow your **skills** too. Plus always fun plays with other people than alone. ",CLB-MNG,Low Frequency
91,True,3,Half of the time,"Minecraft ,Super Smash Bros Ultimate,Fire Emblem: Three House,Fire Emblem: Engage,Sekiro: Shadows Die Twice","Yes it does! When I play my favorite game ""Super Smash bro"", I have friends who are super good at the game, so pretty much lost every match, but super fun.  It more fun play with people are so much better then you because you can grow as a better player and grow your skills too. Plus always fun plays with other people than **alone**. ",DEF-SLO,Low Frequency
87,True,4,Some of the time,"Legend of Zelda Tears of the Kingdom,Stardew Valley,Graveyard Keeper,Cult of the Lamb,Mario Party","Sometimes, I can become very competitive in games like Mario Party very **fast**. In games like Dead by Daylight I am more strategic and a team player, thinking and doing a game more logically is my favorite way to. It really depends on the type of game that I am playing, with or without teamwork required.",COM-EFF,High Frequency
87,True,4,Some of the time,"Legend of Zelda Tears of the Kingdom,Stardew Valley,Graveyard Keeper,Cult of the Lamb,Mario Party","Sometimes, I can become very competitive in games like Mario Party very fast. In games like Dead by Daylight I am more **strategic** and a team player, thinking and doing a game more logically is my favorite way to. It really depends on the type of game that I am playing, with or without teamwork required.",PRO-STR,High Frequency
